vet_name,specialty,rating,num_rating,sign_in_time
vet_00008b4e6d174aaf8430009a37083a70,"reptile, pet",2.4,28,2024-05-23 19:39:02.439
vet_0023bcc47b754c429f789546865bd8c8,"pet, reptile, aquatic, cattle, bird, exotic",3.5,71,2024-05-25 01:08:56.30
vet_0047a947b4974f06870572927bee5445,reptile,4.6,199,2024-05-03 02:01:44.130
vet_005eaa23268e41d1b22cc738e1506462,"reptile, pet, bird, aquatic",1.7,96,2024-06-01 13:33:29.899
vet_00c1efca3e1a4d9eac865b43d30c4815,"reptile, pet",2.5,150,2024-05-02 09:02:42.112
vet_00d0b7f98ff54811888a6089362a48db,"cattle, aquatic",2.6,7,2024-05-27 13:26:54.427
vet_0189f0d905dd4f1e92c21717f58b5fdc,"pet, reptile",2.0,3,2024-06-14 11:21:00.70
vet_01956e4b752443beb4719ab85cd7a322,"pet, aquatic, reptile",4.8,56,2024-05-04 01:35:26.116
vet_01b96b23511f4bcaaef1c990cd1dfef9,"bird, aquatic",2.3,171,2024-05-07 05:01:53.174
vet_01d5bdceba2a4f8b99dc3101aa5b75c6,"pet, reptile",2.0,88,2024-05-29 17:47:15.303
vet_01df43066f1e469ea28cceab562ab035,"cattle, aquatic, exotic, bird",4.8,197,2024-06-09 00:31:37.999
vet_01e4c447f03d47869099f2d8159ba6cf,"aquatic, exotic, bird, pet, cattle, reptile",1.7,66,2024-05-18 05:48:35.398
vet_020b9ad4d34745ffb31415ed880b26c2,reptile,2.1,96,2024-06-18 06:35:27.97
vet_024fae6750e64ee493469692594d3266,"exotic, cattle, bird, pet, reptile",2.2,101,2024-05-25 07:27:29.138
vet_02da236c6e654b0980a11a632260d406,reptile,2.0,84,2024-05-27 21:51:51.104
vet_02fb3b065a094fd784f27906cf07acc6,"reptile, cattle, pet",4.7,0,2024-06-11 18:03:27.157
vet_0382141c92b74211a980c5e47e894da2,"reptile, pet",4.5,15,2024-06-06 01:30:29.614
vet_03a9b8dcde754fd8930170317829d175,"reptile, pet, aquatic, cattle, bird",4.5,131,2024-06-06 13:01:18.315
vet_03b92e8eefea4f09987661df430fdc7b,"pet, exotic, aquatic, reptile",3.9,72,2024-06-11 15:38:29.688
vet_0402ee5be00f4773a9622c1db7e39793,"pet, exotic",4.8,42,2024-05-16 07:14:04.459
vet_041f476845894450871c75cf575dfb47,"aquatic, reptile, bird, exotic",3.1,0,2024-05-05 14:15:56.428
vet_044e4d3c93ee44c3888b19e8cd7a8205,"pet, reptile, aquatic, exotic",4.0,143,2024-05-12 07:53:42.482
vet_053a7e41d2f64627a4d68895c25e52f9,"cattle, reptile, pet, exotic, bird, aquatic",1.4,52,2024-05-13 01:11:15.347
vet_0590b12ddfea49cd935faadc6d8cfa61,"pet, bird, exotic, reptile",1.9,172,2024-06-09 07:58:34.154
vet_066d0e98d1484a62bf90631998bd584f,"bird, pet, reptile, aquatic, cattle",4.2,76,2024-06-05 14:51:59.313
vet_067762e4946c470b9e967d806a3d46c7,"reptile, pet, bird, exotic",4.0,173,2024-05-24 04:31:39.327
vet_07285adb8c074ae79f9d1fac14cb3fea,"reptile, pet, bird, aquatic, exotic, cattle",3.8,59,2024-06-14 23:29:13.826
vet_0734a63933d348a2867fe738a6492985,exotic,3.4,123,2024-05-19 05:12:52.398
vet_075456c020d84ec0be82f512cd28328e,"exotic, reptile, aquatic",1.3,48,2024-05-25 13:10:15.482
vet_0861af330989469ba079dc5dd5c48d2c,"aquatic, cattle, exotic, bird",1.6,71,2024-05-23 20:44:18.223
vet_0861e371b5764510a7a12c02b9299dad,"bird, pet, aquatic, reptile, exotic, cattle",1.6,102,2024-06-12 00:35:45.30
vet_08e11a63b2da445ba0dd066507aced10,"reptile, exotic, aquatic, pet",3.7,84,2024-05-21 16:41:48.935
vet_090022fc21204da2b89b29e1394bd96f,"exotic, cattle, pet",3.4,140,2024-05-13 01:30:05.12
vet_09137a8b1c394a6bb55829c2f3d81d44,"pet, reptile, aquatic, cattle",1.4,64,2024-05-24 02:12:58.478
vet_092ceac5546e4954a710abafe23c456a,"pet, cattle, reptile, bird",4.5,41,2024-05-30 14:24:03.219
vet_09f354136b3e4160b08d116970d5cea5,"cattle, aquatic, reptile, pet",1.9,109,2024-06-16 21:13:39.605
vet_09f93c64556a464893a0089b701db305,"reptile, exotic",4.1,152,2024-05-01 11:23:00.655
vet_09fcd38925354647ac4bcaf4546487ee,reptile,3.6,184,2024-06-15 17:52:43.436
vet_0a2d26ae31f048e3bf85a93cc7e56bd7,"pet, bird, exotic",1.1,110,2024-05-31 12:42:24.210
vet_0a69f6674c69455a97923ec6723940f3,"exotic, pet, bird, aquatic, reptile, cattle",3.2,37,2024-05-04 10:37:36.523
vet_0a8baf5b3b5946109e6feed6083ecc2e,"bird, cattle, exotic, pet",2.5,112,2024-06-05 05:54:56.560
vet_0af1b12da0a5411587c2735c122944e8,"bird, exotic",2.3,138,2024-06-20 16:46:39.626
vet_0b14a5edd7334255b01cded5604a75d0,"aquatic, cattle, bird",2.0,128,2024-05-01 13:12:28.929
vet_0bb3d59035e14b5fa75f68c36f28218b,"bird, pet, reptile, exotic, aquatic, cattle",4.2,7,2024-05-10 09:55:26.932
vet_0c2e2069c81c406a8fe26d8265eb354b,"pet, reptile, exotic, cattle, bird, aquatic",2.6,53,2024-05-12 03:39:12.817
vet_0c440c95cc3f4caa9604b3d399976466,"exotic, bird",2.5,28,2024-05-19 19:52:44.839
vet_0c44f8c6cdc94960b22d4f7f1465064e,reptile,3.1,53,2024-05-26 09:51:38.494
vet_0c56d331a5f24ad0ba2257a3043bd0d0,pet,2.1,189,2024-05-07 03:38:40.461
vet_0c5e49826f9a4096bb03f6c85f00c75f,"aquatic, reptile, pet",3.1,131,2024-05-07 01:24:18.614
vet_0c6885e6da1a49d9b4876858d64967bc,"exotic, reptile, aquatic",2.1,47,2024-06-04 18:00:09.782
vet_0d11760382fe4e469ce4cc320726d631,"reptile, pet, cattle",4.7,178,2024-05-27 17:42:29.923
vet_0d3c510f931e4e599c022510101d7033,"bird, reptile, exotic, aquatic, pet, cattle",2.5,162,2024-06-13 13:10:38.34
vet_0d5d479eb9fa4b7e891b1d13855d1489,"cattle, pet, aquatic, bird, exotic",2.4,121,2024-05-18 20:36:42.277
vet_0daaf998273446e2983d3ae46808431f,"pet, exotic, aquatic, cattle, reptile, bird",3.8,191,2024-06-17 00:53:15.618
vet_0db62e775f2847afbbc8eb22bd7e85b8,"cattle, reptile, pet, exotic, aquatic",4.5,135,2024-05-20 13:52:01.697
vet_0de3f8b505cd47c2b2d16840e7dc533a,"aquatic, cattle, pet, reptile",1.0,183,2024-06-18 10:03:05.418
vet_0e203367b05b41ddb907dd2904553da0,"aquatic, exotic, bird, cattle, pet",3.8,109,2024-05-30 03:24:48.671
vet_0e9a6ad11ba241fb868e5599dec37a79,"exotic, reptile, pet, aquatic, cattle, bird",2.8,142,2024-05-13 22:00:53.189
vet_0ec173e0474549aea35b2fb2d0a4d572,"reptile, aquatic, pet",2.2,149,2024-06-20 00:45:35.761
vet_0ecea25fdc894c5cb5f40e101f5ae8c6,aquatic,1.7,56,2024-06-14 14:54:47.387
vet_0f2ebc3a19f04f3b91cfb8bbce7c9ff8,"exotic, bird, aquatic, reptile, pet",2.1,15,2024-06-01 17:03:34.921
vet_0f5cf144a1134f16a9f4db40b4006efe,bird,1.2,7,2024-05-10 15:07:20.595
vet_0f8b50ac6c2243688d67103324c6ec2f,"bird, cattle, pet, aquatic, exotic, reptile",1.8,67,2024-05-24 07:37:30.162
vet_0fb52602661c47d1a62c8c6975b3b270,"pet, bird",3.5,169,2024-06-14 08:15:46.835
vet_0fd9102bc8704ebf983f56d14b7ae407,aquatic,4.0,95,2024-06-06 18:43:38.776
vet_0feabf884c414c818f634372dff69c69,"reptile, bird, exotic, cattle, pet",3.9,74,2024-05-31 03:05:03.919
vet_1013bd5df1774b14b8af972d9d2063d4,"exotic, reptile, aquatic, bird, cattle, pet",1.8,34,2024-05-10 12:56:11.341
vet_101a511ca9ee4e42977d43294e88cd0d,"reptile, pet, bird",1.3,122,2024-06-19 12:17:55.04
vet_1150b92826f446aea00858dbfad707b6,"reptile, exotic, pet, bird, aquatic",3.3,185,2024-05-27 19:56:35.632
vet_11716cb972f149eeba7f18d40aa9e009,"exotic, bird, cattle, aquatic, pet",3.6,146,2024-05-15 20:08:52.425
vet_11ae9fb614224db993c43cbb03d4c46f,"bird, pet, cattle, reptile, exotic",2.1,61,2024-06-06 20:03:11.93
vet_11d87c46a791485a916ec0735f974b58,cattle,3.6,175,2024-05-12 09:41:44.62
vet_11da26a4af8445b4819bd7f547e50a3f,"aquatic, cattle",4.9,190,2024-05-13 11:25:09.183
vet_11f86e42afe2424cbc5ea51de45f6e2f,reptile,4.0,141,2024-06-02 00:18:50.935
vet_12015216e2714b10bb0973e5a0d79163,"aquatic, pet, exotic, reptile",4.1,159,2024-05-14 19:44:43.457
vet_12325c8e3f7045dbbe9f5b66193c6ead,"cattle, exotic",3.0,116,2024-05-24 15:16:40.503
vet_123545b7e0874b7fb3a52c98f4774309,"exotic, reptile, pet, cattle, bird, aquatic",2.3,173,2024-05-27 07:23:25.901
vet_127d3d2a04a74088a38b63a1535024cf,"pet, reptile, cattle, aquatic, exotic, bird",1.0,41,2024-06-14 01:25:56.670
vet_13137e40035340ce8cacddc64ba3849c,"aquatic, bird",2.5,102,2024-05-23 21:19:35.855
vet_131dbdf6008849feb68848887e354b9b,"reptile, pet, bird, aquatic",1.0,2,2024-05-28 22:19:54.578
vet_13850fb45fec4f94a8d776792d9b78bc,"reptile, pet",3.4,82,2024-06-13 03:37:45.705
vet_141eec0f91e244e7b6103416581724e0,"cattle, exotic, aquatic",2.7,57,2024-05-07 11:57:55.404
vet_146bda7ab87347c58b4004b8b23dface,"bird, reptile, aquatic, exotic",4.8,152,2024-05-23 19:39:46.520
vet_14a628e200c8434da22a0da5225c6cdf,"exotic, pet, aquatic, cattle",3.9,198,2024-05-29 11:14:39.186
vet_14d255612e584858bd71f7a4856dc1b9,"reptile, pet, cattle",3.3,153,2024-06-01 05:09:20.998
vet_14d8a6b5798e442f800ec7bf2848b4de,"reptile, aquatic, pet, exotic",2.2,139,2024-06-08 21:11:13.993
vet_14fdb7122cd247b4babe8bfc705ce566,"bird, aquatic, exotic, pet, reptile, cattle",1.7,74,2024-05-25 14:00:32.110
vet_1545f772e75847718cc009e177c7f331,"exotic, bird, cattle, pet, aquatic",3.9,95,2024-05-07 04:06:53.01
vet_158a6ddde99d4f74a7d5b4380e1e8c1a,"reptile, pet, cattle, bird, exotic",2.3,192,2024-06-19 04:20:47.594
vet_1593770f392541cbbbcf4874b39fd277,aquatic,2.0,50,2024-06-17 00:14:18.967
vet_160035af90ad4e338c431fb52906321a,"pet, reptile, cattle, bird, exotic",4.0,153,2024-05-01 00:22:08.33
vet_16011dbcf86a431093f445b087e3ee03,"aquatic, reptile, cattle, pet",3.8,172,2024-05-27 23:04:18.458
vet_16058ed8e5ef4535a2cc4d236a5e5c73,"pet, aquatic",2.9,173,2024-05-04 02:08:25.831
vet_1681ce1571fe4a6cbe89859bca2224e8,"exotic, bird, aquatic, pet, reptile, cattle",1.8,180,2024-05-06 13:35:15.354
vet_16d7cb631a834f2b9a7ef7492b076b8d,"reptile, pet, bird",4.0,113,2024-06-01 09:06:00.805
vet_16e6743d63c4400f8be17010e15df612,"reptile, pet, cattle, bird, exotic, aquatic",3.4,142,2024-05-31 03:40:55.546
vet_172688b49ed54459b4bdefde6266a8cc,"cattle, exotic, pet, reptile, bird, aquatic",3.5,123,2024-05-17 13:11:12.766
vet_17d42a5f55614535ac9ed5c44022727f,reptile,3.0,149,2024-06-08 10:24:53.66
vet_17fc37549c0b43f293298a3e1238dba2,"pet, bird",3.6,21,2024-06-18 03:24:22.824
vet_189810e3757c47dd8bd8518934fce54a,"cattle, exotic, bird",2.0,142,2024-06-01 13:52:58.361
vet_18f29c22b9b341a69e2f3919f8409fb3,"bird, aquatic, pet",1.7,101,2024-05-28 02:54:08.928
vet_18ffc0333d22445d8311a08a9041dc30,"aquatic, exotic, pet, cattle",1.3,123,2024-06-03 06:41:29.832
vet_1909a178898b4956abc818929d083e9e,"bird, pet, cattle",4.6,183,2024-05-22 00:20:35.52
vet_19e788c1701740d7bdf5ca77f55bd4e3,bird,4.3,120,2024-06-05 07:59:58.509
vet_1a2c9c7f3e674afda58ddd35361d1fa9,"cattle, exotic, aquatic",2.6,69,2024-05-09 03:15:25.472
vet_1a49ebf07db246baa4dde8fb3481e417,"cattle, exotic, aquatic",2.3,69,2024-06-04 19:58:03.170
vet_1a66c6bb623b46c598591f1602afbe65,"aquatic, exotic, reptile, bird, pet",1.2,152,2024-06-07 09:05:26.04
vet_1b187386b94245b4a6e5e2c7f7bcb56f,reptile,3.4,102,2024-06-10 19:46:06.890
vet_1b2efc10d23946b3b22a343baa580b8a,"bird, cattle, exotic, pet, reptile",3.7,113,2024-05-31 12:08:16.461
vet_1b788900300344d0a02086231f766747,"exotic, aquatic",4.7,116,2024-06-01 11:03:34.964
vet_1c41769c97274c8cb65a9b9565419455,"reptile, pet, aquatic, bird, exotic",1.7,139,2024-06-17 04:56:10.556
vet_1c938d41950348afa7057d2eebff7baa,"reptile, pet, bird",4.9,154,2024-06-19 15:50:42.49
vet_1d20f44209e14051b1a17589140f87a2,"bird, pet, cattle, aquatic",1.1,88,2024-06-03 17:48:05.659
vet_1d30744c3481469da3d0276c85dfc8ed,cattle,2.4,74,2024-05-19 14:55:48.387
vet_1d90bc603f4947b682ea51f4f08b22ca,"aquatic, bird, exotic",3.6,78,2024-06-03 01:31:07.55
vet_1dab77f6f12c40139fd77dadb5aaa237,"bird, pet, aquatic, exotic, cattle, reptile",3.5,98,2024-06-08 02:31:10.628
vet_1e6dc6a0f87b43eaac01cdffb0cab87f,"pet, reptile, aquatic, cattle",3.5,14,2024-06-11 14:57:56.843
vet_1eae17b0e91e4806aef0b494abf671ff,"aquatic, cattle, exotic",3.8,91,2024-06-04 05:45:34.581
vet_1efdc2c6bfa84952a96cb7fc949825fa,"bird, exotic, pet, reptile, cattle",2.9,110,2024-06-15 08:28:49.975
vet_1effe3b94b684313a058d641d0cd3d67,"aquatic, exotic",3.1,104,2024-05-19 21:11:32.346
vet_1f379078ec7d491ab6387c5a6646de15,"pet, reptile, aquatic, bird, exotic, cattle",1.4,1,2024-05-13 09:56:29.610
vet_1f4bac9794c740f59332b3e75016cf36,aquatic,1.4,141,2024-05-26 06:31:18.65
vet_1fce289438314987918b490449ccbcc6,"pet, exotic",1.8,90,2024-05-06 12:56:30.290
vet_1fd8e8f9ed914186b6522ab3cf3dbf1a,"cattle, reptile, aquatic",3.4,176,2024-05-11 12:38:20.806
vet_20003f01c30e4ab19995bb6cec727364,"reptile, pet, bird",3.8,129,2024-05-12 19:08:25.622
vet_2033f5a91a6c4c1589a5034cd476d838,pet,1.1,71,2024-06-15 21:00:28.996
vet_20aedb3662084793a64424eb4f910626,"reptile, cattle, exotic, pet, bird",1.3,4,2024-06-20 01:44:54.524
vet_20f86c633e284922ab9e3048040ee05b,"bird, cattle, pet",1.2,12,2024-06-11 06:22:29.318
vet_210248bb54e24ec890fa043e6bd30297,cattle,4.4,163,2024-05-28 00:28:05.589
vet_21b082e5f0b046a09ba58c8c697b6fc9,cattle,2.7,16,2024-06-08 02:48:42.652
vet_21b2c6e004434c0e858ba2cd67988491,"exotic, pet, aquatic, cattle, reptile, bird",2.1,13,2024-06-01 12:58:29.267
vet_21c1acd6b5d942ada31d557ccd1bb7c8,"bird, pet, aquatic",1.3,170,2024-05-28 20:54:20.277
vet_21e232ef66d34e3e989feaa55300bb32,"reptile, aquatic, exotic, pet, cattle, bird",4.3,7,2024-05-24 15:29:36.764
vet_233cbcaf1c244267a6674f334ae03b50,"exotic, bird, cattle",2.6,141,2024-05-10 21:01:05.253
vet_23819406ab184c9aab6a64d40f9cfbf7,cattle,1.7,95,2024-05-12 14:36:53.140
vet_23ee457ad7834942b9e435a5d3b03242,aquatic,1.8,103,2024-06-01 03:42:05.840
vet_23f91d483e294f3187ddc2a628195294,"reptile, pet, bird, exotic",3.9,168,2024-06-08 13:31:32.922
vet_2444020470a846bb83dd2a21d655f23e,"reptile, aquatic, exotic, pet, cattle",2.6,37,2024-05-19 08:50:56.855
vet_2593558bf93b4184aaebe2ab9706194e,exotic,2.9,78,2024-05-21 06:04:51.693
vet_26063a24cfd54a959b22c5a46cd2e328,"exotic, pet, reptile",4.2,182,2024-06-11 11:58:17.918
vet_2636d93e2ea34af7a0ccfcb78330e378,"exotic, bird, aquatic, pet, cattle",2.9,38,2024-05-23 03:53:35.606
vet_26824005655340e383dac51d553c7a69,"exotic, bird, pet",1.4,148,2024-06-05 16:20:39.308
vet_26963c192b7c44d4a785854bb7e95671,"pet, reptile",1.2,25,2024-06-09 00:52:45.621
vet_27fbdb093ada469f8637bb746e476cc0,exotic,4.2,101,2024-05-04 01:24:19.294
vet_27fc3dd39eca470f9e4f493128a7852e,exotic,1.1,161,2024-05-27 23:42:25.716
vet_281936cd52c641afb3172cc15f44cd8d,"exotic, reptile",3.1,196,2024-05-30 16:11:37.358
vet_2820df15236546d180d89f1b21e47575,aquatic,4.5,112,2024-06-09 02:58:35.811
vet_283c5c413a7041f0b53d4ad96323644c,"pet, reptile, aquatic, exotic, cattle, bird",1.2,107,2024-06-09 21:08:59.212
vet_28572517bf8542108dc6d05e6c0155e4,"aquatic, reptile, cattle, pet, exotic",5.0,93,2024-05-21 00:26:43.695
vet_28628d50b55f4fdf9157aec4757a8053,"pet, cattle, aquatic",1.4,140,2024-06-05 11:22:47.455
vet_28667f56e821477aa82a935b154c50e0,"cattle, aquatic, exotic, pet, reptile, bird",1.2,15,2024-05-21 06:50:27.261
vet_288bd4c5658a43b5859b333a4dd127bd,"aquatic, cattle, exotic, bird, pet, reptile",3.3,124,2024-06-15 01:10:47.819
vet_28d5c9d163004a039dce770d787a24d7,"exotic, pet, aquatic, reptile",4.0,160,2024-05-23 00:52:47.366
vet_293cbfad71ec4827a12b68e9ed7b696c,"reptile, cattle, pet, exotic, bird, aquatic",2.3,151,2024-05-25 01:55:01.785
vet_2941dc48f40d4a7cbaf673b788fa7659,"pet, exotic, aquatic, bird",2.2,118,2024-05-01 21:58:10.338
vet_297e6a99966447aa9aef999f9638fcbc,"aquatic, reptile, exotic",3.1,37,2024-06-05 06:48:52.693
vet_29c239bbdf464be2be078eb841131fe8,"cattle, exotic, bird, pet",2.9,4,2024-05-31 00:37:38.349
vet_29f4b4c13b5f4b00ba99a4013ee5ab27,"aquatic, reptile, pet, cattle",1.5,47,2024-05-01 15:34:15.636
vet_2a05fdc200e946d6b348e739503b5e73,exotic,1.5,28,2024-06-05 21:22:43.95
vet_2a547aaf079a45e8bae8716a923cfbbe,"aquatic, pet, reptile, exotic, cattle, bird",4.4,119,2024-05-09 19:14:16.75
vet_2a6e3e511d134e1193f43ba479ecafdc,"pet, cattle, aquatic, exotic, reptile, bird",2.6,110,2024-05-06 20:55:55.678
vet_2a826dcd08504908bf6677df4e6f9095,cattle,2.0,113,2024-06-07 05:52:02.710
vet_2aa7d341117643e790382b95e9bf0c91,exotic,1.2,69,2024-06-13 01:40:29.256
vet_2ac66cb949d1429fac226eae9213d1e4,"reptile, pet",3.1,177,2024-05-07 19:19:04.630
vet_2b0ce3ac1875446e89874a01d4e0a6a9,exotic,4.4,52,2024-05-19 15:30:50.301
vet_2b34aa461d764ffbb8356fcf9c71feb4,exotic,1.1,0,2024-05-09 16:12:36.247
vet_2bd3aacf1a1f42a69a3f52053b1ecf9d,"reptile, aquatic, exotic, cattle, pet",2.7,168,2024-05-03 06:09:53.442
vet_2c036d8a50f74f2b9056e0722da28a2c,"bird, pet, aquatic",2.9,86,2024-06-20 04:00:02.754
vet_2c2eddd0390d48549d89712389abd84e,aquatic,1.5,19,2024-06-07 03:34:46.898
vet_2c40e625290b4affa36f9fe5f3164346,"exotic, bird, cattle, pet, reptile, aquatic",3.1,27,2024-06-09 08:31:14.637
vet_2c613c1284064c03a5220c2d6c60397d,"reptile, pet, aquatic, cattle",3.2,101,2024-06-08 09:07:52.610
vet_2cf0c7622b6a4320a7944bf95d29f877,"reptile, pet",2.2,24,2024-06-16 16:40:46.742
vet_2d385fd3489d48a487e4738c50d68019,"exotic, pet, cattle, reptile",3.5,35,2024-06-16 02:33:16.893
vet_2d4290633fe0460394d8a231127113b5,"exotic, pet, bird, cattle, reptile, aquatic",3.1,17,2024-05-26 18:05:17.891
vet_2d8d4696cd8a41d3b2aed2b9ed0ad0a5,aquatic,2.3,123,2024-06-03 00:19:53.326
vet_2dbf5290be6141dcbef5bda3e07c3ce4,"reptile, aquatic",1.4,79,2024-05-12 00:31:33.985
vet_2e1ac34bc2ec4628a0880037f6090839,"exotic, reptile, aquatic, bird, cattle, pet",2.2,196,2024-05-03 09:06:03.145
vet_2e952b9a93394321b99765753b0e4085,"reptile, aquatic, pet",2.2,180,2024-06-08 23:50:10.217
vet_2eb3efe912fb4e53afc7191f8c981efd,"reptile, bird, aquatic, exotic",1.0,5,2024-06-13 19:09:51.310
vet_2ef6906fe1fc4f8ebda1e7d5ee3b2708,"pet, bird, aquatic, cattle",4.8,3,2024-05-06 23:24:06.27
vet_2f20da6cccee4284b152ab9dfb2fe62f,"aquatic, pet, reptile, bird",2.3,154,2024-05-27 15:35:37.707
vet_2f5d71ada00a48d0acf2de5a9850c948,"pet, exotic, aquatic, reptile, bird, cattle",2.5,112,2024-06-19 20:31:24.286
vet_2f5f4ea5947e431eb1830070b243c589,"exotic, cattle, pet, bird, reptile, aquatic",1.6,145,2024-05-09 02:00:30.338
vet_2f9d7d9beb7f411f810e747b61342b14,"pet, cattle, bird, aquatic, reptile",2.9,75,2024-05-07 00:21:24.749
vet_2fd22166df3b4de29d876d8d3312e810,"exotic, reptile, cattle, aquatic",1.1,141,2024-05-23 17:34:17.129
vet_2ff260656709437dacbc28dfd8fca0b3,"reptile, aquatic, pet",3.3,96,2024-05-12 04:20:25.260
vet_30941087589b4326847643e61ae4094b,"aquatic, exotic, bird, pet",1.3,65,2024-05-18 19:13:27.32
vet_31911ab49f364b8a9955bf204408918e,"exotic, reptile, cattle",1.4,4,2024-05-01 10:22:52.284
vet_31b14739f56448368e9c7a1fc802c48e,cattle,3.8,166,2024-05-23 16:43:13.929
vet_31d88eb5785e40aaaff20532eabc2b8e,"reptile, pet, bird, exotic, cattle",1.9,104,2024-06-05 05:49:15.530
vet_32027e364da442358d64c56683992a52,"pet, reptile, aquatic, bird, exotic",1.8,23,2024-05-21 07:47:30.902
vet_32513f8a07074263bd4a443d47c2d575,"reptile, aquatic, pet, cattle",1.7,18,2024-05-03 23:47:41.971
vet_326bbcaa9c7a4baf8c9a0a2c0249bac9,aquatic,3.2,156,2024-05-25 04:24:11.252
vet_32ef792faa054e57a0b424211fd95a18,"cattle, exotic, aquatic, bird, pet, reptile",4.4,114,2024-05-11 03:20:03.891
vet_3301def3d56d49dcb1ce2fab97cbf008,"bird, cattle, pet, exotic, aquatic",1.5,140,2024-06-05 09:36:49.294
vet_3344fe11ecc64f8a8383c8cb98f8b9b4,"exotic, reptile, cattle",4.8,17,2024-06-04 19:14:33.107
vet_33466eef148443c2a500680358444a33,"reptile, pet",2.1,138,2024-05-17 08:48:11.17
vet_3365780f86b5414ba2a574c14ab4cedc,"exotic, reptile, pet, cattle",3.6,132,2024-06-06 00:16:23.51
